"choice","nonchoice","value","rt","pair","valence","iter","med","ord_sbj","not_cond1","not_cond2","dmed"
1,2,1,1.343,2,2,34,"off",1,1,3,0
2,1,1,-1.647,3,2,34,"off",1,1,2,0
1,2,0,1.73,1,1,34,"off",1,2,3,0
2,1,0,-1.362,1,1,35,"off",1,2,3,0
1,2,1,0.247,3,2,35,"off",1,1,2,0
1,2,1,1.994,2,2,35,"off",1,1,3,0
2,1,0,-2.043,3,1,36,"off",1,1,2,0
2,1,1,-0.952,1,2,36,"off",1,2,3,0
2,1,0,-1.595,2,1,36,"off",1,1,3,0
1,2,1,1.521,3,2,37,"off",1,1,2,0
1,2,1,1.243,2,2,37,"off",1,1,3,0
1,2,1,2.118,1,2,37,"off",1,2,3,0
2,1,0,-2.143,2,1,38,"off",1,1,3,0
2,1,0,-1.907,1,1,38,"off",1,2,3,0
1,2,1,0.655,3,2,38,"off",1,1,2,0
2,1,1,-1.926,3,2,39,"off",1,1,2,0
1,2,0,2.13,1,1,39,"off",1,2,3,0
2,1,1,-0.914,2,2,39,"off",1,1,3,0
1,2,1,1.213,3,2,40,"off",1,1,2,0
1,2,1,1.105,2,2,40,"off",1,1,3,0
1,2,1,1.661,1,2,40,"off",1,2,3,0
1,2,0,1.709,1,1,41,"off",1,2,3,0
2,1,0,-0.908,2,1,41,"off",1,1,3,0
1,2,1,1.018,3,2,41,"off",1,1,2,0
2,1,1,-0.979,3,2,42,"off",1,1,2,0
1,2,1,1.525,1,2,42,"off",1,2,3,0
1,2,0,1.189,2,1,42,"off",1,1,3,0
1,2,1,1.33,3,2,43,"off",1,1,2,0
1,2,1,0.93,1,2,43,"off",1,2,3,0
1,2,1,2.206,2,2,43,"off",1,1,3,0
2,1,0,-1.442,3,1,44,"off",1,1,2,0
1,2,0,0.94,1,1,44,"off",1,2,3,0
1,2,1,1.177,2,2,44,"off",1,1,3,0
1,2,0,0.902,1,1,45,"off",1,2,3,0
